Start (s),End (s),Scientific name,species,confidence,File,lat,lon,sensitivity,min_conf,timestamp_str,duration
42.5,45.5,Otus lettia,Collared Scops-Owl,0.2578,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063000.WAV,,,,,20250610_063000,3.0
42.5,45.5,Oreothlypis superciliosa,Crescent-chested Warbler,0.109,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063000.WAV,,,,,20250610_063000,3.0
42.5,45.5,Otus bakkamoena,Indian Scops-Owl,0.1083,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063000.WAV,,,,,20250610_063000,3.0
22.5,25.5,Otus lettia,Collared Scops-Owl,0.2186,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063100.WAV,,,,,20250610_063100,3.0
25.0,28.0,Otus lettia,Collared Scops-Owl,0.1252,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063100.WAV,,,,,20250610_063100,3.0
0.0,3.0,Otus bakkamoena,Indian Scops-Owl,0.0744,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
0.0,3.0,Otus lettia,Collared Scops-Owl,0.0739,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
0.0,3.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0242,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
0.0,3.0,Caprimulgus asiaticus,Indian Nightjar,0.0185,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
0.0,3.0,Nyctidromus albicollis,Common Pauraque,0.0162,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
3.0,6.0,Otus lettia,Collared Scops-Owl,0.0898,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
3.0,6.0,Otus bakkamoena,Indian Scops-Owl,0.0294,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
3.0,6.0,Engine,Engine,0.0184,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
3.0,6.0,Branta canadensis,Canada Goose,0.0125,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
3.0,6.0,Tyto alba,Barn Owl,0.0119,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
6.0,9.0,Otus lettia,Collared Scops-Owl,0.0845,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
6.0,9.0,Turdus viscivorus,Mistle Thrush,0.0574,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
6.0,9.0,Otus lempiji,Sunda Scops-Owl,0.0359,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
6.0,9.0,Troglodytes troglodytes,Eurasian Wren,0.0287,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
6.0,9.0,Engine,Engine,0.0285,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
9.0,12.0,Passer domesticus,House Sparrow,0.0131,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
9.0,12.0,Swynnertonia swynnertoni,Swynnerton's Robin,0.0076,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
9.0,12.0,Troglodytes troglodytes,Eurasian Wren,0.0072,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
9.0,12.0,Stachyris poliocephala,Gray-headed Babbler,0.0071,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
9.0,12.0,Poecile atricapillus,Black-capped Chickadee,0.007,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
12.0,15.0,Engine,Engine,0.0159,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
12.0,15.0,Human vocal,Human vocal,0.0132,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
12.0,15.0,Passer domesticus,House Sparrow,0.0103,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
12.0,15.0,Otus bakkamoena,Indian Scops-Owl,0.0052,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
12.0,15.0,Agelaius phoeniceus,Red-winged Blackbird,0.005,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
15.0,18.0,Engine,Engine,0.0336,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
15.0,18.0,Erythropitta ussheri,Black-crowned Pitta,0.0273,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
15.0,18.0,Passer domesticus,House Sparrow,0.0132,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
15.0,18.0,Otus bakkamoena,Indian Scops-Owl,0.0069,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
15.0,18.0,Agelaius phoeniceus,Red-winged Blackbird,0.0064,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
18.0,21.0,Otus bakkamoena,Indian Scops-Owl,0.0342,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
18.0,21.0,Passer domesticus,House Sparrow,0.0146,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
18.0,21.0,Cardinalis cardinalis,Northern Cardinal,0.0094,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
18.0,21.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0069,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
18.0,21.0,Engine,Engine,0.0061,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
21.0,24.0,Basileuterus rufifrons,Rufous-capped Warbler,0.0222,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
21.0,24.0,Megascops watsonii,Tawny-bellied Screech-Owl,0.0146,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
21.0,24.0,Erythropitta ussheri,Black-crowned Pitta,0.0118,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
21.0,24.0,Otus bakkamoena,Indian Scops-Owl,0.0089,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
21.0,24.0,Nicator chloris,Western Nicator,0.0085,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
24.0,27.0,Turdus viscivorus,Mistle Thrush,0.0272,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
24.0,27.0,Otus lettia,Collared Scops-Owl,0.0247,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
24.0,27.0,Otus bakkamoena,Indian Scops-Owl,0.0187,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
24.0,27.0,Troglodytes troglodytes,Eurasian Wren,0.0145,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
24.0,27.0,Passer domesticus,House Sparrow,0.0089,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
27.0,30.0,Troglodytes troglodytes,Eurasian Wren,0.1085,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
27.0,30.0,Turdus viscivorus,Mistle Thrush,0.0955,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
27.0,30.0,Stachyris poliocephala,Gray-headed Babbler,0.0461,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
27.0,30.0,Hylia prasina,Green Hylia,0.0444,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
27.0,30.0,Swynnertonia swynnertoni,Swynnerton's Robin,0.0276,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
30.0,33.0,Passer domesticus,House Sparrow,0.061,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
30.0,33.0,Poecile atricapillus,Black-capped Chickadee,0.0566,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
30.0,33.0,Poecile gambeli,Mountain Chickadee,0.0511,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
30.0,33.0,Troglodytes aedon,House Wren,0.029,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
30.0,33.0,Serinus serinus,European Serin,0.0221,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
33.0,36.0,Turdus philomelos,Song Thrush,0.0806,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
33.0,36.0,Scolopax rusticola,Eurasian Woodcock,0.0647,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
33.0,36.0,Turdus merula,Eurasian Blackbird,0.0337,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
33.0,36.0,Muscicapa dauurica,Asian Brown Flycatcher,0.0239,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
33.0,36.0,Strix aluco,Tawny Owl,0.022,/Users/amoddaherkar/Desktop/AudioMothRec/20250610_063200.WAV,-1.0,-1.0,1.0,0.25,20250610_063200,3.0
