species,scientific_name,start_time,end_time,confidence,label,File,timestamp_str,duration
House Wren,Troglodytes aedon,18.0,21.0,0.16731414198875427,Troglodytes aedon_House Wren,20250610_063000.WAV,20250610_063000,3.0
Indian Scops-Owl,Otus bakkamoena,27.0,30.0,0.1147841289639473,Otus bakkamoena_Indian Scops-Owl,20250610_063000.WAV,20250610_063000,3.0
Rufous-capped Warbler,Basileuterus rufifrons,51.0,54.0,0.1512419730424881,Basileuterus rufifrons_Rufous-capped Warbler,20250610_063000.WAV,20250610_063000,3.0
Eurasian Wren,Troglodytes troglodytes,27.0,30.0,0.10854179412126541,Troglodytes troglodytes_Eurasian Wren,20250610_063200.WAV,20250610_063200,3.0
Collared Scops-Owl,Otus lettia,39.0,42.0,0.16693587601184845,Otus lettia_Collared Scops-Owl,20250610_063300.WAV,20250610_063300,3.0
Engine,Engine,39.0,42.0,0.15437394380569458,Engine_Engine,20250610_063300.WAV,20250610_063300,3.0
Barn Owl,Tyto alba,42.0,45.0,0.22582724690437317,Tyto alba_Barn Owl,20250610_063300.WAV,20250610_063300,3.0
Oriental Scops-Owl,Otus sunia,48.0,51.0,0.13276226818561554,Otus sunia_Oriental Scops-Owl,20250610_063300.WAV,20250610_063300,3.0
Common True Katydid,Pterophylla camellifolia,24.0,27.0,0.11505686491727829,Pterophylla camellifolia_Common True Katydid,20250610_063400.WAV,20250610_063400,3.0
Oriental Scops-Owl,Otus sunia,30.0,33.0,0.23405495285987854,Otus sunia_Oriental Scops-Owl,20250610_063400.WAV,20250610_063400,3.0
Mottled Wood-Owl,Strix ocellata,30.0,33.0,0.10411612689495087,Strix ocellata_Mottled Wood-Owl,20250610_063400.WAV,20250610_063400,3.0
Indian Scops-Owl,Otus bakkamoena,30.0,33.0,0.10145421326160431,Otus bakkamoena_Indian Scops-Owl,20250610_063400.WAV,20250610_063400,3.0
Chestnut-winged Babbler,Cyanoderma erythropterum,39.0,42.0,0.11708852648735046,Cyanoderma erythropterum_Chestnut-winged Babbler,20250610_063400.WAV,20250610_063400,3.0
Marsh Wren,Cistothorus palustris,9.0,12.0,0.42677512764930725,Cistothorus palustris_Marsh Wren,20250610_063500.WAV,20250610_063500,3.0
Common Virtuoso Katydid,Amblycorypha longinicta,27.0,30.0,0.11097163707017899,Amblycorypha longinicta_Common Virtuoso Katydid,20250610_063500.WAV,20250610_063500,3.0
Oriental Scops-Owl,Otus sunia,18.0,21.0,0.5395605564117432,Otus sunia_Oriental Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Brown Wood-Owl,Strix leptogrammica,18.0,21.0,0.22787083685398102,Strix leptogrammica_Brown Wood-Owl,20250610_063600.WAV,20250610_063600,3.0
Mottled Wood-Owl,Strix ocellata,18.0,21.0,0.21115897595882416,Strix ocellata_Mottled Wood-Owl,20250610_063600.WAV,20250610_063600,3.0
Indian Scops-Owl,Otus bakkamoena,21.0,24.0,0.18906302750110626,Otus bakkamoena_Indian Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Collared Scops-Owl,Otus lettia,21.0,24.0,0.1589425802230835,Otus lettia_Collared Scops-Owl,20250610_063600.WAV,20250610_063600,3.0
Indian Scops-Owl,Otus bakkamoena,3.0,6.0,0.14844730496406555,Otus bakkamoena_Indian Scops-Owl,20250610_063700.WAV,20250610_063700,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.1347576230764389,Otus bakkamoena_Indian Scops-Owl,20250610_064000.WAV,20250610_064000,3.0
Indian Scops-Owl,Otus bakkamoena,6.0,9.0,0.1172250434756279,Otus bakkamoena_Indian Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Oriental Scops-Owl,Otus sunia,21.0,24.0,0.16061875224113464,Otus sunia_Oriental Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Oriental Scops-Owl,Otus sunia,30.0,33.0,0.12220834940671921,Otus sunia_Oriental Scops-Owl,20250610_064200.WAV,20250610_064200,3.0
Barn Owl,Tyto alba,39.0,42.0,0.1136619970202446,Tyto alba_Barn Owl,20250610_064200.WAV,20250610_064200,3.0
Barn Owl,Tyto alba,15.0,18.0,0.12472275644540787,Tyto alba_Barn Owl,20250610_064300.WAV,20250610_064300,3.0
